url,relative_path,local_html_path,topic,subtopic,title,size_kb,status,timestamp
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/index.html,index.html,html/index.html,_root,_root,Transportation and Global Trade Management,5,200,2026-02-12T17:06:17.734795
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/about_doc.htm,general/about_doc.htm,html/general/about_doc.htm,general,general,Documentation,15,200,2026-02-12T17:06:17.956982
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/cpyr.htm,general/cpyr.htm,html/general/cpyr.htm,general,general,"Copyright and Trademark Notices, and Terms of Use",12,200,2026-02-12T17:06:18.197758
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/getting_started.htm,general/getting_started.htm,html/general/getting_started.htm,general,general,Getting Started,24,200,2026-02-12T17:06:18.344363
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/communication/message_center/message_center.htm,communication/message_center/message_center.htm,html/communication/message_center/message_center.htm,communication,communication/message_center,Message Center,11,200,2026-02-12T17:06:18.531564
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/configuration/about_the_logistics_digital_assistant.htm,configuration/about_the_logistics_digital_assistant.htm,html/configuration/about_the_logistics_digital_assistant.htm,configuration,configuration,About the Logistics Digital Assistant,10,200,2026-02-12T17:06:18.760621
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/enhanced_settings_and_actions.htm,general/enhanced_settings_and_actions.htm,html/general/enhanced_settings_and_actions.htm,general,general,Settings and Actions,14,200,2026-02-12T17:06:19.010882
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_preferences/defining_favorites.htm,user_preferences/defining_favorites.htm,html/user_preferences/defining_favorites.htm,user_preferences,user_preferences,User Favorites,14,200,2026-02-12T17:06:19.303412
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/general_access.htm,user_access/general_access.htm,html/user_access/general_access.htm,user_access,user_access,Configure User Access,12,200,2026-02-12T17:06:19.677340
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/global_search.htm,general/global_search.htm,html/general/global_search.htm,general,general,Using Global Search,11,200,2026-02-12T17:06:20.191080
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/basic_data_entry.htm,general/basic_data_entry.htm,html/general/basic_data_entry.htm,general,general,Basic Data Entry for User Interface,28,200,2026-02-12T17:06:20.596475
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/favorites_and_recent_items.htm,general/favorites_and_recent_items.htm,html/general/favorites_and_recent_items.htm,general,general,Favorites from Unified Global Header,9,200,2026-02-12T17:06:21.634639
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/logs/download_log.htm,planning/process_manager/process_manager/logs/download_log.htm,html/planning/process_manager/process_manager/logs/download_log.htm,planning,planning/process_manager,Download Log,8,200,2026-02-12T17:06:22.072487
